,x,y,z,θ1,θ2,θ3,θ4,θ5,θ6
A0,-9,26,5,0.0,163.0,180.0,180.0,90.0,0.0
A1,-7,26,5,0.0,161.0,180.0,180.0,90.0,0.0
A2,-5,26,5,101.0,0.0,0.0,140.0,90.0,0.0
A3,-3,26,5,97.0,0.0,0.0,142.0,90.0,0.0
A4,-1,26,5,92.0,180.0,180.0,15.0,90.0,0.0
A5,1,26,5,88.0,180.0,180.0,15.0,90.0,0.0
A6,3,26,5,83.0,0.0,0.0,142.0,90.0,0.0
A7,5,26,5,79.0,0.0,0.0,140.0,90.0,0.0
A8,7,26,5,180.0,161.0,180.0,180.0,90.0,0.0
B0,-9,24,5,0.0,163.0,180.0,180.0,90.0,0.0
B1,-7,24,5,0.0,161.0,180.0,180.0,90.0,0.0
B2,-5,24,5,102.0,143.0,180.0,55.0,90.0,0.0
B3,-3,24,5,97.0,0.0,0.0,149.0,90.0,0.0
B4,-1,24,5,92.0,0.0,0.0,150.0,90.0,0.0
B5,1,24,5,88.0,0.0,0.0,150.0,90.0,0.0
B6,3,24,5,83.0,0.0,0.0,149.0,90.0,0.0
B7,5,24,5,78.0,143.0,180.0,55.0,90.0,0.0
B8,7,24,5,180.0,161.0,180.0,180.0,90.0,0.0
C0,-9,22,5,0.0,163.0,180.0,180.0,90.0,0.0
C1,-7,22,5,0.0,161.0,180.0,180.0,90.0,0.0
C2,-5,22,5,103.0,57.0,170.0,146.0,90.0,0.0
C3,-3,22,5,0.0,0.0,0.0,0.0,0.0,0.0
C4,-1,22,5,93.0,64.0,167.0,142.0,90.0,0.0
C5,1,22,5,0.0,0.0,0.0,0.0,0.0,0.0
C6,3,22,5,0.0,0.0,0.0,0.0,0.0,0.0
C7,5,22,5,77.0,57.0,170.0,146.0,90.0,0.0
C8,7,22,5,180.0,161.0,180.0,180.0,90.0,0.0
D0,-9,20,5,0.0,163.0,180.0,180.0,90.0,0.0
D1,-7,20,5,109.0,42.0,139.0,169.0,90.0,0.0
D2,-5,20,5,104.0,62.0,156.0,148.0,90.0,0.0
D3,-3,20,5,98.0,68.0,155.0,144.0,90.0,0.0
D4,-1,20,5,93.0,69.0,154.0,144.0,90.0,0.0
D5,1,20,5,87.0,69.0,154.0,144.0,90.0,0.0
D6,3,20,5,0.0,0.0,0.0,0.0,0.0,0.0
D7,5,20,5,0.0,0.0,0.0,0.0,0.0,0.0
D8,7,20,5,0.0,0.0,0.0,0.0,0.0,0.0
E0,-9,18,5,0.0,0.0,0.0,0.0,0.0,0.0
E1,-7,18,5,111.0,69.0,149.0,146.0,90.0,0.0
E2,-5,18,5,106.0,78.0,148.0,141.0,90.0,0.0
E3,-3,18,5,100.0,71.0,141.0,149.0,90.0,0.0
E4,-1,18,5,0.0,0.0,0.0,0.0,0.0,0.0
E5,1,18,5,0.0,0.0,0.0,0.0,0.0,0.0
E6,3,18,5,80.0,71.0,141.0,149.0,90.0,0.0
E7,5,18,5,74.0,78.0,148.0,141.0,90.0,0.0
E8,7,18,5,69.0,69.0,149.0,146.0,90.0,0.0
F0,-9,16,5,119.0,67.0,138.0,152.0,90.0,0.0
F1,-7,16,5,0.0,0.0,0.0,0.0,0.0,0.0
F2,-5,16,5,107.0,74.0,131.0,150.0,90.0,0.0
F3,-3,16,5,101.0,78.0,130.0,149.0,90.0,0.0
F4,-1,16,5,94.0,77.0,127.0,150.0,90.0,0.0
F5,1,16,5,86.0,77.0,127.0,150.0,90.0,0.0
F6,3,16,5,0.0,0.0,0.0,0.0,0.0,0.0
F7,5,16,5,73.0,74.0,131.0,150.0,90.0,0.0
F8,7,16,5,0.0,0.0,0.0,0.0,0.0,0.0
G0,-9,14,5,123.0,63.0,114.0,161.0,90.0,0.0
G1,-7,14,5,117.0,72.0,117.0,156.0,90.0,0.0
G2,-5,14,5,110.0,83.0,122.0,149.0,90.0,0.0
G3,-3,14,5,102.0,84.0,118.0,150.0,90.0,0.0
G4,-1,14,5,94.0,37.0,180.0,180.0,90.0,0.0
G5,1,14,5,86.0,37.0,180.0,180.0,90.0,0.0
G6,3,14,5,0.0,0.0,0.0,0.0,0.0,0.0
G7,5,14,5,70.0,83.0,122.0,149.0,90.0,0.0
G8,7,14,5,63.0,72.0,117.0,156.0,90.0,0.0
H0,-9,12,5,127.0,65.0,98.0,163.0,90.0,0.0
H1,-7,12,5,120.0,72.0,98.0,159.0,90.0,0.0
H2,-5,12,5,113.0,70.0,85.0,162.0,90.0,0.0
H3,-3,12,5,104.0,84.0,100.0,155.0,90.0,0.0
H4,-1,12,5,95.0,118.0,122.0,137.0,90.0,0.0
H5,1,12,5,85.0,118.0,122.0,137.0,90.0,0.0
H6,3,12,5,0.0,0.0,0.0,0.0,0.0,0.0
H7,5,12,5,67.0,70.0,85.0,162.0,90.0,0.0
H8,7,12,5,60.0,72.0,98.0,159.0,90.0,0.0
I0,-9,10,5,132.0,66.0,81.0,164.0,90.0,0.0
I1,-7,10,5,0.0,0.0,0.0,0.0,0.0,0.0
I2,-5,10,5,117.0,68.0,65.0,163.0,90.0,0.0
I3,-3,10,5,107.0,82.0,78.0,159.0,90.0,0.0
I4,-1,10,5,96.0,139.0,117.0,136.0,90.0,0.0
I5,1,10,5,84.0,139.0,117.0,136.0,90.0,0.0
I6,3,10,5,73.0,82.0,78.0,159.0,90.0,0.0
I7,5,10,5,63.0,68.0,65.0,163.0,90.0,0.0
I8,7,10,5,55.0,51.0,40.0,170.0,90.0,0.0
