,waist,shoulder,elbow,wrist,
"0,0",108,163,154,40,
"0,1",100,163,154,44,
"0,2",94,163,154,44,
"0,3",89,163,154,44,
"0,4",84,163,154,44,
"0,5",78,163,154,44,
"0,6",73,163,154,44,
"0,7",68,165,157,40,
"0,8",63,168,161,40,
"1,0",109,156,142,40,
"1,1",102,156,142,43,
"1,2",97,151,138,43,
"1,3",90,151,138,44,
"1,4",84,151,138,46,
"1,5",79,155,138,43,
"1,6",73,153,138,43,
"1,7",68,154,138,37,
"1,8",62,155,138,32,
"2,0",112,140,112,22,
"2,1",103,140,112,28,
"2,2",97,140,112,31,
"2,3",91,140,112,31,
"2,4",84,140,112,33,
"2,5",78,142,115,33,
"2,6",71,142,115,33,
"2,7",65,143,118,30,
"2,8",61,147,124,30,
"3,0",114,132,94,16,
"3,1",106,131,87,16,
"3,2",98,129,83,13,
"3,3",92,126,79,13,
"3,4",83,126,79,12,
"3,5",77,126,79,10,
"3,6",71,126,79,9,
"3,7",66,130,84,5,
"3,8",60,130,84,2,
"4,0",114,124,75,9,
"4,1",109,123,66,4,
"4,2",100,120,66,11,
"4,3",91,123,66,8,
"4,4",82,123,66,8,
"4,5",73,123,66,8,
"4,6",68,123,66,2,
"4,7",61,123,69,2,
"4,8",56,123,72,0,
"5,0",118,117,64,9,
"5,1",109,117,60,7,
"5,2",100,116,57,7,
"5,3",92,116,57,7,
"5,4",81,113,55,7,
"5,5",74,113,55,6,
"5,6",66,113,55,4,
"5,7",57,118,64,9,
"5,8",52,122,71,9,
"6,0",121,115,64,19,
"6,1",112,112,53,12,
"6,2",102,110,49,12,
"6,3",92,110,49,12,
"6,4",79,110,49,12,
"6,5",69,110,49,12,
"6,6",61,110,49,10,
"6,7",53,112,56,9,
"6,8",47,115,61,9,
"7,0",125,107,52,16,
"7,1",115,107,48,14,
"7,2",102,101,43,14,
"7,3",89,98,38,16,
"7,4",78,98,38,14,
"7,5",68,97,38,14,-
"7,6",58,100,41,12,
"7,7",49,104,46,10,
"7,8",44,109,58,18,
"8,0",130,91,31,3,
"8,1",117,84,24,0,
"8,2",105,80,19,16,
"8,3",90,84,26,17,
"8,4",68,86,29,19,
"8,5",57,88,32,19,
"8,6",48,96,38,19,
"8,7",41,98,39,14,
"8,8",36,104,45,8,
start,14,104,46,15,
